Location,Latitude,Longitude,Temperature_C,Condition,Wind_kph,Humidity,Local_Time
Amazon Rainforest,-3.4653,-62.2159,35.0,Partly Cloudy,9.4,34,2025-08-03 12:17
California Wildlands,36.7783,-119.4179,25.2,Partly cloudy,4.0,45,2025-08-03 09:17
British Columbia,53.7267,-127.6476,16.2,Partly cloudy,4.0,63,2025-08-03 09:15
Siberia Forests,60.0,105.0,15.8,Clear,3.6,82,2025-08-04 00:12
Athens Outskirts,37.9838,23.7275,31.1,Sunny,4.3,49,2025-08-03 19:17
Canberra Region,-35.2809,149.13,4.2,Cloudy,6.8,100,2025-08-04 02:15
Alberta Forests,54.0,-115.0,18.1,Partly cloudy,10.8,88,2025-08-03 10:17
Western Cape,-33.9249,18.4241,15.1,Patchy rain nearby,32.4,88,2025-08-03 18:17
Mato Grosso,-12.6819,-55.6896,34.4,Sunny,9.7,24,2025-08-03 12:16
Los Angeles National Forest,34.5,-118.2,28.3,Sunny,12.2,19,2025-08-03 09:15
